ID_Cliente,Quantidade,Data,Frete,Desconto,Total_do_Pedido
15914194842.0,84,2022-12-30,0.0,0.0,23781.6
15914194842.0,60,2022-12-30,0.0,0.0,23781.6
15914194842.0,58,2022-12-30,0.0,0.0,23781.6
15914194842.0,36,2022-12-30,0.0,0.0,23781.6
15914194842.0,27,2022-12-30,0.0,0.0,23781.6
15914194842.0,20,2022-12-30,0.0,0.0,23781.6
15914194842.0,15,2022-12-30,0.0,0.0,23781.6
15914194842.0,10,2022-12-30,0.0,0.0,23781.6
15914194842.0,9,2022-12-30,0.0,0.0,23781.6
15807752372.0,6,2022-07-21,0.0,0.0,1071.0
15807752372.0,6,2022-07-21,0.0,107.1,963.9
15914194842.0,5,2022-12-30,0.0,0.0,23781.6
15388066216.0,5,2021-11-28,0.0,214.2,856.8
15507014948.0,5,2021-12-08,0.0,71.4,523.6
15921761536.0,5,2022-11-08,0.0,119.0,476.0
15241733984.0,5,2021-11-22,59.03,285.6,1201.43
13611623453.0,5,2021-07-16,0.0,235.44,1072.56
15507014948.0,5,2021-12-14,0.0,129.96,703.04
15806435052.0,5,2022-07-15,0.0,71.4,523.6
15358915241.0,4,2022-10-21,0.0,119.0,357.0
15342668178.0,4,2021-11-24,0.0,96.0,380.0
15274832661.0,4,2021-12-18,0.0,57.12,418.88
15388066216.0,4,2021-11-28,0.0,214.2,856.8
12385092320.0,4,2022-11-25,0.0,351.0,720.0
15902254442.0,4,2022-10-12,0.0,57.12,418.88
15601867101.0,4,2022-11-25,0.0,95.2,380.8
14972937125.0,4,2021-10-16,0.0,43.6,392.4
15722120544.0,4,2022-06-27,0.0,119.0,357.0
15241733984.0,4,2021-11-22,59.03,285.6,1201.43
15695312404.0,4,2022-10-06,0.0,169.0,307.0
15916683854.0,4,2022-10-26,0.0,47.6,428.4
15627545331.0,4,2022-01-20,0.0,57.12,418.88
15835219153.0,4,2022-08-10,0.0,57.12,418.88
15608184774.0,4,2022-10-14,0.0,119.0,614.0
15904569808.0,4,2022-10-14,0.0,119.0,357.0
15624977962.0,4,2022-01-17,0.0,119.0,357.0
15606412869.0,3,2022-05-28,0.0,500.0,393.0
15875708078.0,3,2022-09-17,0.0,20.0,246.0
15985716853.0,3,2022-12-26,0.0,0.0,357.0
15827276251.0,3,2022-08-05,0.01,20.0,246.01
15741561785.0,3,2022-10-04,0.0,0.0,714.0
15696372244.0,3,2022-06-07,0.0,0.0,357.0
15741561785.0,3,2022-10-04,0.0,0.0,714.0
13034350563.0,3,2021-12-07,0.0,95.0,500.0
15877308748.0,3,2022-09-19,0.0,0.0,476.0
15601403371.0,3,2022-09-17,0.0,20.0,127.0
12268398905.0,3,2022-12-21,0.0,0.0,357.0
15789441989.0,3,2022-12-23,0.0,107.1,606.9
15784796838.0,3,2022-08-04,0.0,66.0,200.0
15326598238.0,3,2021-11-23,0.0,71.4,285.6
15901273024.0,3,2022-10-11,0.0,0.0,357.0
14463206503.0,3,2022-08-04,0.0,20.0,127.0
15942317373.0,3,2022-11-19,0.0,142.8,571.2
15330352788.0,3,2022-01-18,0.0,119.0,357.0
15877473887.0,3,2022-09-19,0.0,32.0,325.0
12385092320.0,3,2022-11-25,0.0,351.0,720.0
15893635938.0,3,2022-12-29,0.0,0.0,357.0
15693197774.0,3,2022-07-12,0.0,0.0,357.0
15605402482.0,3,2022-07-15,0.0,0.0,604.0
15911894166.0,3,2022-12-24,0.0,0.0,525.0
15789441989.0,3,2022-12-23,0.0,107.1,606.9
15911588045.0,3,2022-10-21,0.0,238.0,714.0
14508214784.0,3,2022-03-04,0.0,82.0,394.0
15911588045.0,3,2022-10-21,0.0,238.0,714.0
15180420142.0,3,2021-11-08,0.0,71.4,285.6
13589205799.0,3,2021-11-25,0.0,71.4,285.6
15759019219.0,3,2022-06-07,0.0,128.52,942.48
15759019219.0,3,2022-06-07,0.0,128.52,942.48
15693197774.0,3,2022-07-12,0.0,0.0,357.0
15758791466.0,3,2022-09-19,0.0,127.0,511.0
15895149927.0,3,2022-10-06,0.0,0.0,788.0
15951099386.0,3,2022-11-26,0.0,0.0,476.0
15807752372.0,3,2022-07-21,0.0,0.0,1071.0
15807752372.0,3,2022-07-21,0.0,107.1,963.9
15358915241.0,3,2022-10-06,0.0,30.0,327.0
15784162438.0,3,2022-06-29,0.0,119.0,357.0
15301219862.0,3,2022-08-11,0.0,20.01,245.99
15956297036.0,3,2022-12-12,0.0,30.0,327.0
15585666641.0,3,2022-10-20,0.0,119.0,357.0
15813935931.0,3,2022-09-11,31.17,0.0,437.17
