ID_Cliente,Data,Frete,Desconto,Quantidade,Compra_Prevista_ArvoreDecisao
15752156346.0,152,0.0,0.0,1,True
15813549031.0,179,0.0,119.0,1,True
15879422540.0,209,0.0,76.0,1,True
15298060363.0,507,0.0,95.2,1,True
15371083092.0,189,0.0,50.0,1,True
15600552768.0,349,0.0,0.0,2,True
15624988150.0,321,0.0,0.0,1,True
15622530066.0,115,0.0,0.0,1,True
15982417350.0,118,0.0,35.7,1,True
15879422540.0,194,0.0,0.0,1,True
15725715248.0,271,0.0,257.0,1,True
15602757742.0,474,5.0,30.0,1,True
15601796615.0,153,0.0,0.0,1,True
15858834205.0,181,0.0,0.0,1,True
15808911475.0,274,0.0,0.0,1,True
15737404133.0,341,0.0,0.0,1,True
15606029398.0,481,0.0,0.0,1,True
15605187406.0,120,0.0,0.0,1,True
12268398905.0,111,0.0,0.0,1,True
15896182612.0,183,0.0,119.0,1,True
15824366423.0,144,0.0,95.2,1,True
15675867272.0,320,0.0,30.0,1,True
14921396186.0,221,0.0,0.0,1,True
15682359584.0,334,0.0,20.0,1,True
15771037813.0,116,0.0,0.0,1,True
15737382928.0,293,0.0,119.0,1,True
15602735269.0,122,0.0,0.0,1,True
15286791899.0,234,0.0,0.0,1,True
15904544251.0,186,0.0,119.0,1,True
13113501954.0,670,18.89,0.0,1,True
15815137492.0,268,0.0,0.0,1,True
15871368024.0,217,0.0,356.0,1,True
15790175984.0,182,0.0,119.0,1,True
15945678744.0,147,0.0,23.8,1,True
14464072631.0,344,0.0,0.0,1,True
15731212910.0,151,0.0,23.8,1,True
15122400852.0,207,0.0,0.0,1,True
15789313154.0,290,0.0,238.0,1,True
15673489384.0,183,0.0,119.0,1,True
15941354780.0,112,0.0,30.0,1,True
13035927757.0,675,0.0,0.0,1,True
15985412616.0,114,0.0,0.0,1,True
15784163556.0,295,0.0,119.0,1,True
15760406190.0,179,0.0,119.0,1,True
14899804157.0,178,0.0,119.0,1,True
12430942296.0,589,5.0,54.5,1,True
15241733984.0,294,32.43,0.0,1,True
14937063619.0,552,0.0,44.0,1,True
15536291704.0,493,0.0,57.12,1,True
15690545106.0,293,0.0,119.0,1,True
15948985394.0,144,0.0,23.8,1,True
14582667875.0,221,0.0,42.84,1,True
15695312404.0,226,0.0,0.0,1,True
15981930701.0,118,0.0,0.0,1,True
15950343719.0,144,0.0,23.8,1,True
15691919043.0,386,10.0,0.0,1,True
15804152281.0,279,0.01,0.0,1,True
14463182810.0,295,0.0,119.0,1,True
13265389909.0,490,0.0,85.68,1,True
15838749979.0,246,0.0,0.01,1,True
15940281881.0,152,0.0,47.6,1,True
15357970634.0,509,0.0,71.4,1,True
15823696159.0,167,0.0,0.0,1,True
15620049204.0,461,0.0,0.0,1,True
14976205384.0,548,5.0,0.0,1,True
15601390223.0,487,0.0,0.0,1,True
15858834328.0,227,0.0,0.0,1,True
15785450547.0,200,0.0,0.0,1,True
15981430310.0,118,0.0,0.0,1,True
15371966868.0,295,0.0,119.0,1,True
15911867996.0,179,0.0,0.0,1,True
15767528928.0,311,0.0,30.0,1,True
15878615845.0,116,0.0,49.0,1,True
15774484458.0,230,0.0,118.0,1,True
15984106761.0,116,0.0,0.0,1,True
15787455011.0,292,0.0,119.0,1,True
14359755845.0,480,0.0,0.0,1,True
15746024290.0,289,0.01,30.0,1,True
15942150253.0,150,0.0,142.8,1,True
15601470021.0,120,31.17,0.0,1,True
15979620590.0,120,0.0,0.0,1,True
15357911833.0,295,0.0,119.0,1,True
13809851472.0,178,0.0,118.0,1,True
15984169945.0,116,0.0,0.0,1,True
15708672962.0,189,0.0,20.0,1,True
15385040310.0,179,0.0,119.0,2,True
15600399865.0,294,0.0,119.0,1,True
15819068575.0,181,0.0,119.0,1,True
14103342432.0,538,0.0,71.4,1,True
13817467081.0,590,5.0,54.5,1,True
15676660968.0,402,0.0,0.0,1,True
15774497572.0,237,0.0,0.0,1,True
15792587321.0,256,31.17,0.0,1,True
15607419246.0,341,0.0,0.0,1,True
15836743075.0,249,5.0,50.0,1,True
15990546622.0,108,0.0,0.0,1,True
15712593856.0,364,0.0,119.0,1,True
15766844541.0,312,0.0,0.0,1,True
15826431265.0,186,0.0,119.0,1,True
15982484472.0,118,0.0,46.1,1,True
15604418610.0,483,0.0,238.0,1,True
15986003242.0,113,0.0,0.0,1,True
15601478750.0,483,5.0,0.0,1,True
15941076846.0,151,0.0,47.6,1,True
15770587846.0,117,0.0,0.0,1,True
15602339704.0,485,0.0,0.0,1,True
15767294784.0,311,21.19,28.56,1,True
15469298317.0,455,10.0,59.5,1,True
15722827706.0,349,0.0,0.0,1,True
12859857557.0,590,5.0,54.5,1,True
15915551908.0,175,0.0,0.0,1,True
15767422061.0,295,0.0,119.0,1,True
15241733984.0,294,32.43,0.0,1,True
13804281365.0,629,0.0,32.7,1,True
15806711299.0,257,0.01,0.01,1,True
12591981248.0,704,4.9,0.0,1,True
14431865445.0,593,5.0,0.0,1,True
15923501842.0,166,0.0,50.0,1,True
12532681256.0,535,0.0,101.4,1,True
15625011422.0,295,0.0,119.0,1,True
14095577038.0,169,0.0,20.0,1,True
13034306012.0,475,0.0,0.0,1,True
15625011422.0,187,0.0,119.0,1,True
13807726257.0,628,5.0,70.0,1,True
14921396186.0,483,0.0,0.0,1,True
15893716214.0,151,0.0,95.2,1,True
15633955473.0,446,0.0,71.4,1,True
15606412869.0,292,0.0,26.0,1,True
15626234041.0,455,23.85,59.5,1,True
15603603266.0,120,0.0,0.0,1,True
15674782251.0,404,0.0,30.0,1,True
15981121602.0,118,0.0,0.0,1,True
15975600007.0,124,0.0,71.4,1,True
14398548075.0,594,0.0,109.0,1,True
15786393381.0,179,0.0,119.0,1,True
15682745645.0,398,0.0,0.0,1,True
12268398905.0,128,0.0,0.0,1,True
12485062623.0,295,0.0,119.0,1,True
13839408733.0,245,0.0,64.0,1,True
15782992403.0,145,0.0,119.0,1,True
15739728966.0,207,0.0,50.0,1,True
15357969418.0,509,5.0,23.8,1,True
14849351530.0,117,0.0,0.0,1,True
15674882942.0,329,0.0,31.0,1,True
14473973818.0,551,5.0,30.0,1,True
14726490645.0,223,0.0,0.0,1,True
15802538879.0,258,9.9,30.0,1,True
12732289533.0,455,0.0,119.0,1,True
15922140617.0,167,9.9,0.0,1,True
15848401758.0,179,0.0,119.0,1,True
14463188189.0,444,5.0,0.0,1,True
14467196211.0,260,0.0,35.7,1,True
15980992682.0,119,0.0,37.6,1,True
15970538105.0,127,0.0,0.0,1,True
14209950276.0,606,0.0,74.0,1,True
15966389924.0,131,0.0,0.0,1,True
15813807277.0,270,0.0,24.0,1,True
12788493590.0,138,0.0,0.0,1,True
15744512878.0,182,0.0,119.0,1,True
15926417506.0,162,0.0,0.0,1,True
15746099844.0,332,0.0,0.0,1,True
15784163622.0,186,0.0,119.0,1,True
15752506746.0,325,0.0,0.0,1,True
14449733562.0,592,5.0,0.0,1,True
12429171179.0,295,0.0,119.0,1,True
14475996223.0,405,0.0,0.0,1,True
15837736212.0,248,0.0,0.0,1,True
15601470021.0,457,0.0,0.0,1,True
15244963181.0,326,29.65,0.0,1,True
15914194842.0,109,0.0,0.0,15,True
15777034206.0,302,0.01,0.0,1,True
15877364500.0,179,0.0,119.0,1,True
15754464067.0,323,0.0,35.7,2,True
15606894233.0,478,0.0,57.12,1,True
15986369389.0,113,0.0,11.9,1,True
14282237877.0,490,0.0,57.12,1,True
15985828514.0,113,0.0,80.3,1,True
15779517249.0,221,0.0,46.0,1,True
15785394441.0,186,0.0,119.0,2,True
15982317830.0,118,0.0,0.0,1,True
15760406190.0,118,0.0,89.25,1,True
15888123472.0,201,0.0,0.0,1,True
15706106609.0,372,0.01,0.0,1,True
15065602724.0,380,0.0,50.0,1,True
15824850290.0,258,0.01,0.0,1,True
15942354189.0,150,9.9,47.6,2,True
15696412509.0,382,0.0,0.0,2,True
15811781333.0,186,0.0,119.0,1,True
15601085740.0,487,5.0,30.0,1,True
15768701273.0,288,0.0,119.0,1,True
14479813291.0,294,0.0,119.0,1,True
13817467081.0,185,0.0,0.0,1,True
15975314515.0,124,0.0,0.0,1,True
15950583021.0,143,0.0,47.6,1,True
15901583338.0,189,0.0,0.0,1,True
15948406666.0,133,0.0,97.0,2,True
15879422540.0,194,0.0,0.0,1,True
14464021619.0,293,0.0,119.0,1,True
15759282562.0,295,0.0,119.0,1,True
13809851472.0,628,10.0,70.0,1,True
15689825535.0,390,10.0,0.0,1,True
15803030321.0,280,0.0,0.0,1,True
15687882570.0,213,0.0,127.0,1,True
15983450927.0,117,0.0,71.4,1,True
15949871813.0,115,0.0,0.0,1,True
15984751590.0,115,0.0,0.0,1,True
14558353536.0,409,0.0,0.0,1,True
15605748390.0,481,0.0,72.0,1,True
15837091740.0,246,0.0,119.0,1,True
12971103152.0,265,0.0,87.84,1,True
15749046179.0,292,0.0,119.0,1,True
15945823509.0,147,0.0,23.8,1,True
15791265600.0,288,0.0,0.0,1,True
15990198550.0,109,0.0,71.4,2,True
15861976920.0,224,0.0,0.0,1,True
15921830761.0,168,0.0,0.0,1,True
14996441914.0,533,0.0,101.4,1,True
14103408389.0,612,5.0,0.0,1,True
15975611275.0,124,0.0,0.0,1,True
15791470276.0,179,0.0,119.0,1,True
15982484472.0,118,0.0,46.1,1,True
14976205384.0,447,0.0,133.0,1,True
15604238262.0,186,0.0,119.0,1,True
15984335959.0,116,0.0,0.0,1,True
14463182810.0,590,5.0,54.5,1,True
15989878469.0,109,0.0,0.0,1,True
13648298939.0,638,0.0,9.0,1,True
15904517498.0,186,0.0,119.0,1,True
15861695269.0,224,0.0,0.0,1,True
15897104143.0,148,0.0,142.8,1,True
12965823896.0,490,0.0,101.4,1,True
12455473977.0,481,0.0,43.0,1,True
15737982431.0,295,0.0,119.0,2,True
14852448230.0,186,0.0,119.0,1,True
15720799814.0,356,0.0,0.0,1,True
15904487801.0,151,0.0,95.2,1,True
14976205384.0,447,0.0,133.0,1,True
15357933527.0,317,19.41,50.0,1,True
12268398905.0,146,0.0,81.2,1,True
15604586337.0,483,0.0,30.0,1,True
15601796615.0,220,0.0,0.0,1,True
14333017025.0,598,0.0,20.0,1,True
15839787138.0,246,9.9,72.8,1,True
15767540992.0,265,0.01,0.0,1,True
15690646808.0,173,0.0,0.0,1,True
15786191496.0,150,0.0,92.2,1,True
15950302975.0,144,0.0,23.8,1,True
15812794297.0,186,0.0,119.0,1,True
15145762782.0,378,0.0,22.0,1,True
12574633308.0,126,0.0,0.0,2,True
15696331837.0,294,0.0,119.0,1,True
15758228046.0,186,0.0,119.0,1,True
15860800282.0,225,0.0,356.0,1,True
15625006098.0,186,0.0,131.0,1,True
15912369086.0,178,0.0,0.0,1,True
15605775806.0,481,0.0,0.0,1,True
15403172869.0,505,0.0,0.0,1,True
15980724586.0,119,0.0,0.0,1,True
12920724665.0,682,5.0,30.0,1,True
12485062623.0,295,0.0,119.0,1,True
15606352208.0,256,0.01,0.01,1,True
12464139587.0,182,0.0,119.0,3,True
15911433517.0,179,0.0,119.0,1,True
12438381097.0,187,0.0,119.0,1,True
14463264628.0,294,0.0,119.0,1,True
15984092771.0,116,0.0,57.12,1,True
15758948769.0,128,0.0,0.0,1,True
12428854910.0,488,0.0,57.12,1,True
15734676880.0,243,0.0,0.0,1,True
15600879398.0,116,0.0,0.0,1,True
15900003072.0,123,0.0,0.0,1,True
15756964174.0,321,0.0,0.0,1,True
15826491512.0,257,0.0,42.84,1,True
15835219153.0,251,0.0,57.12,4,True
12429148020.0,539,0.0,140.0,1,True
14364402701.0,188,29.91,0.0,1,True
15988249197.0,111,0.0,0.0,1,True
15973582065.0,125,31.17,0.0,1,True
15693197774.0,373,0.0,0.0,1,True
15947872973.0,145,0.0,47.6,1,True
13807149616.0,539,5.0,95.4,1,True
15771806158.0,146,0.0,50.8,1,True
15725715248.0,272,0.0,0.0,1,True
13022322113.0,232,0.0,38.0,1,True
15983599620.0,117,0.0,47.6,1,True
15624978173.0,456,14.06,59.5,1,True
15085532391.0,116,0.0,0.0,1,True
15841073192.0,245,0.0,0.0,1,True
15710192529.0,368,0.0,0.0,1,True
12431484268.0,484,0.0,57.0,1,True
15766958375.0,288,0.0,119.0,1,True
15683924569.0,397,0.0,0.0,1,True
15820998433.0,230,0.0,0.0,1,True
15604466463.0,118,0.0,0.0,1,True
13817352141.0,342,0.0,41.0,1,True
15096333655.0,536,0.0,87.2,1,True
15979913577.0,120,0.0,0.0,1,True
15985913308.0,113,0.0,0.0,1,True
13648298939.0,557,0.0,57.0,1,True
15743288396.0,294,0.0,119.0,1,True
15603603266.0,388,0.0,41.0,1,True
15764906411.0,300,0.0,30.0,1,True
15762013256.0,150,0.0,38.0,1,True
12868187591.0,214,0.0,0.0,1,True
15414776853.0,504,0.0,0.0,1,True
13493717055.0,620,0.0,18.0,1,True
14942085795.0,552,10.0,0.0,2,True
15909762432.0,181,0.0,119.0,1,True
15743714116.0,288,0.0,119.0,1,True
15727878323.0,349,0.0,0.0,1,True
15906184131.0,184,9.9,0.0,1,True
15605405254.0,179,0.0,119.0,1,True
15900764960.0,189,9.9,23.8,1,True
15749387976.0,329,0.0,0.0,1,True
15790967998.0,243,0.0,49.0,1,True
12268398905.0,158,0.0,0.0,1,True
13509388585.0,628,5.0,70.0,1,True
15717754150.0,295,0.0,119.0,1,True
14849351530.0,115,0.0,0.0,1,True
15823806851.0,119,0.0,28.56,1,True
15625006098.0,127,0.0,38.0,1,True
15896652462.0,193,0.0,0.0,1,True
15879422540.0,194,0.0,0.0,1,True
15690729239.0,293,0.01,0.0,1,True
